"","...1","PID","M_edu","F_edu","Pol_ideo","GPA","Extraversion_T","Agreeableness_T","Conscientiousness_T","Neuroticism_T","Openness_T"
"1",1,0,"4","3",3,NA,3,3,3,3,3
"2",2,7,"5","5",2,2.8,3.33333333333333,3.41666666666667,4.16666666666667,3.91666666666667,4.33333333333333
"3",3,8,"4","5",2,NA,4.16666666666667,4.66666666666667,3.66666666666667,2.41666666666667,4.91666666666667
"4",4,9,"5","8",1,NA,2.08333333333333,4.08333333333333,3.58333333333333,3.5,4.08333333333333
"5",5,10,"5","5",2,NA,3.83333333333333,4.08333333333333,3.58333333333333,2.08333333333333,3.16666666666667
"6",6,11,"5","5",2,3.8,3.5,3.25,2.5,2.41666666666667,3.16666666666667
"7",7,12,"4","7",5,3.85,2.25,4.08333333333333,3.58333333333333,3.41666666666667,3.66666666666667
"8",8,13,"6","6",4,3.63,3.08333333333333,2.75,3.25,2.75,2.5
"9",9,14,"4","5",1,NA,4.08333333333333,2.33333333333333,4.75,4.33333333333333,4.58333333333333
"10",10,15,"8","8",1,4,2.75,4.25,4.16666666666667,3.16666666666667,4.16666666666667
"11",11,16,"8","1",5,4,4,4.41666666666667,3,1.41666666666667,3.41666666666667
"12",12,17,"8","8",1,3.6,4.25,4.08333333333333,4.08333333333333,2.08333333333333,4.91666666666667
"13",13,18,"4","7",1,3.84,3.66666666666667,4.91666666666667,3.91666666666667,2.25,3.58333333333333
"14",14,19,"8","8",2,NA,1.91666666666667,4.5,2.83333333333333,1.83333333333333,4.75
"15",15,20,"5","2",0,4,2.41666666666667,3.58333333333333,4.33333333333333,2.5,3.91666666666667
"16",16,21,"6","4",2,4,2.83333333333333,3.66666666666667,3.41666666666667,3.16666666666667,4.41666666666667
"17",17,22,"1","1",2,NA,3.16666666666667,3.91666666666667,3.83333333333333,2.91666666666667,4.16666666666667
"18",18,23,"1","7",2,4,3.83333333333333,3.41666666666667,3.83333333333333,3.16666666666667,4.25
"19",19,24,"5","5",4,NA,3.25,4.25,3.75,3,3.33333333333333
"20",20,25,"5","7",2,NA,2.91666666666667,4.33333333333333,3.08333333333333,2.83333333333333,4.08333333333333
"21",21,26,"5","5",5,3.8,4.33333333333333,4.33333333333333,3.33333333333333,3.58333333333333,3.66666666666667
"22",22,27,"8",NA,2,NA,4.16666666666667,4.58333333333333,4.58333333333333,3.08333333333333,4.75
"23",23,28,"3","6",3,3.19,3.5,4.33333333333333,4.33333333333333,2.58333333333333,4.08333333333333
"24",24,29,NA,NA,3,3.3,3.58333333333333,4,3.16666666666667,3.75,4
"25",25,30,"4","7",1,3.97,3.75,3.41666666666667,4,2.41666666666667,4.83333333333333
"26",26,31,"7","7",2,NA,4.66666666666667,4.66666666666667,4.25,1.33333333333333,2.66666666666667
"27",27,32,"5","4",0,3.7,3.5,4.41666666666667,4,2.08333333333333,4.75
"28",28,33,NA,"1",3,3.76,2.75,3.75,3.91666666666667,2.16666666666667,3.91666666666667
"29",29,34,"4","5",4,NA,3.5,4.16666666666667,3.16666666666667,2.5,3.66666666666667
"30",30,35,"4","5",3,NA,3.83333333333333,4.58333333333333,2.75,3.91666666666667,3.5
"31",31,36,"4","5",3,NA,2.66666666666667,3.83333333333333,2.91666666666667,3,3.83333333333333
"32",32,37,"4","4",4,3.86,3.66666666666667,2.58333333333333,2.66666666666667,2.5,4.41666666666667
"33",33,38,"7","7",3,3.87,4,4.58333333333333,4.91666666666667,1.58333333333333,4.83333333333333
"34",34,39,"7","8",2,NA,2.41666666666667,4.33333333333333,3.75,4,4.16666666666667
"35",35,40,"3","7",3,3.99,5,4.75,4.5,3.83333333333333,4.08333333333333
"36",36,41,"4","8",2,3.9,3.75,4.08333333333333,3.41666666666667,3.41666666666667,3.08333333333333
"37",37,42,"5","5",3,3.94,3.58333333333333,3.83333333333333,3.16666666666667,4,4.41666666666667
"38",38,43,"5","5",3,NA,2.83333333333333,3.75,3.83333333333333,3.41666666666667,3.33333333333333
"39",39,44,"8","7",2,3.9,4,4.58333333333333,3.5,2.41666666666667,4.16666666666667
"40",40,45,"1","7",3,3.98,4.33333333333333,2.83333333333333,4.16666666666667,2.25,3.75
"41",41,47,"1","1",2,3.3,3.75,4.83333333333333,4.66666666666667,1,3.5
"42",42,48,"7","4",2,4,4.25,3.91666666666667,4.41666666666667,3.41666666666667,3.91666666666667
"43",43,49,"5",NA,3,3.01,2.5,3.75,3.66666666666667,3.08333333333333,4.08333333333333
"44",44,50,"7","7",1,3.94,3.33333333333333,3.58333333333333,4.08333333333333,2.25,3.5
"45",45,51,"4","3",3,4,4.41666666666667,3.58333333333333,4.41666666666667,3,3.66666666666667
"46",46,52,"1","2",4,NA,3.33333333333333,3.08333333333333,2.91666666666667,3.5,3.16666666666667
"47",47,53,"4","7",1,3.63,2.58333333333333,4.58333333333333,4.75,3.08333333333333,4.66666666666667
"48",48,54,"6","7",2,3.95,2.33333333333333,4.5,4.91666666666667,2.91666666666667,3.41666666666667
"49",49,55,"4","4",3,NA,3.91666666666667,4.41666666666667,3.25,2,4.33333333333333
"50",50,56,"4","7",4,3.97,4.16666666666667,3.75,3.75,2.91666666666667,4.25
"51",51,57,"4","7",2,NA,4.16666666666667,3.33333333333333,4.5,4.33333333333333,4.16666666666667
"52",52,58,NA,NA,3,NA,3.08333333333333,3.75,3.66666666666667,1.75,4.66666666666667
"53",53,59,"1","1",1,3.97,2.91666666666667,4.08333333333333,4.41666666666667,3,4.41666666666667
"54",54,60,"4","7",1,4,2.83333333333333,3.08333333333333,2.91666666666667,2.41666666666667,4.16666666666667
